datetime,articles_compound_sentiment,articles_positive_sentiment,articles_neutral_sentiment,articles_negative_sentiment,stockmarket_compound_sentiment,stockmarket_positive_sentiment,stockmarket_neutral_sentiment,stockmarket_negative_sentiment
2013-02-22,,,,,0.11265,0.081375,0.876375,0.042125
2013-02-23,,,,,0.35440000000000005,0.0815,0.8625,0.055999999999999994
2013-02-24,,,,,0.37393529411764703,0.16588235294117645,0.7879411764705883,0.04623529411764706
2013-02-25,,,,,0.180995,0.09875,0.85495,0.0462
2013-02-26,,,,,-0.017736363636363637,0.04945454545454546,0.8461818181818181,0.10445454545454545
2013-02-27,,,,,0.5415083333333334,0.1445,0.8325833333333333,0.022958333333333334
2013-02-28,,,,,0.49105,0.143875,0.8055,0.050624999999999996
2013-03-01,,,,,,,,
2013-03-02,,,,,,,,
2013-03-03,,,,,,,,
2013-03-04,,,,,,,,
2013-03-05,,,,,,,,
2013-03-06,,,,,,,,
2013-03-07,,,,,,,,
2013-03-08,,,,,,,,
2013-03-09,,,,,,,,
2013-03-10,,,,,,,,
2013-03-11,,,,,,,,
2013-03-12,,,,,,,,
2013-03-13,,,,,,,,
2013-03-14,,,,,,,,
2013-03-15,,,,,,,,
2013-03-16,,,,,,,,
2013-03-17,,,,,,,,
2013-03-18,,,,,,,,
2013-03-19,,,,,,,,
2013-03-20,,,,,,,,
2013-03-21,,,,,,,,
2013-03-22,,,,,,,,
2013-03-23,,,,,,,,
2013-03-24,,,,,,,,
2013-03-25,,,,,,,,
2013-03-26,,,,,,,,
2013-03-27,,,,,,,,
2013-03-28,,,,,,,,
2013-03-29,,,,,,,,
2013-03-30,,,,,,,,
2013-03-31,,,,,,,,
2013-04-01,,,,,,,,
2013-04-02,,,,,,,,
2013-04-03,,,,,,,,
2013-04-04,,,,,,,,
2013-04-05,,,,,,,,
2013-04-06,,,,,,,,
2013-04-07,,,,,,,,
2013-04-08,,,,,0.18194,0.0926,0.884,0.0234
2013-04-09,,,,,-0.0715,0.0545,0.85375,0.0915
2013-04-10,,,,,0.4408047619047619,0.13128571428571428,0.8371428571428571,0.03152380952380952
2013-04-11,,,,,0.19017441860465117,0.1054186046511628,0.838906976744186,0.055697674418604654
2013-04-12,,,,,0.188075,0.07706249999999999,0.846375,0.07656249999999999
2013-04-13,,,,,0.5768555555555556,0.11122222222222221,0.8472222222222222,0.041555555555555554
2013-04-14,,,,,0.2810275862068966,0.11041379310344827,0.8340689655172413,0.05548275862068965
2013-04-15,,,,,0.3184642857142857,0.098375,0.85675,0.044767857142857144
2013-04-16,,,,,0.4214166666666667,0.10866666666666668,0.7846666666666667,0.1065
2013-04-17,,,,,0.2532625,0.08787500000000001,0.83675,0.0755
2013-04-18,,,,,0.14099999999999996,0.082,0.8623333333333334,0.05566666666666667
2013-04-19,,,,,,,,
2013-04-20,,,,,,,,
2013-04-21,,,,,,,,
2013-04-22,,,,,,,,
2013-04-23,,,,,,,,
2013-04-24,,,,,,,,
2013-04-25,,,,,,,,
2013-04-26,,,,,,,,
2013-04-27,,,,,,,,
2013-04-28,,,,,,,,
